work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,MI,FT,Data Engineer,110000,USD,110000,USA,100,USA,L
2020,MI,FT,Data Engineer,130800,USD,130800,Spain,100,USA,M
2020,EN,PT,Data Scientist,19000,EUR,21669,Italy,50,Italy,S
2020,SE,FT,Data Scientist,412000,USD,412000,USA,100,USA,L
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,Croatia,100,Croatia,S
2020,EN,FT,Data Scientist,55000,EUR,62726,Germany,50,Germany,S
2020,EN,FT,Data Scientist,43200,EUR,49268,Germany,0,Germany,S
2020,SE,FT,Data Science Manager,190200,USD,190200,USA,100,USA,M
2020,EN,FT,Data Scientist,105000,USD,105000,USA,100,USA,S
2020,SE,FT,Data Scientist,80000,EUR,91237,Austria,0,Austria,S
2020,MI,FT,Data Scientist,55000,EUR,62726,France,50,Luxembourg,S
2020,MI,FT,Data Scientist,37000,EUR,42197,France,50,France,S
2021,EN,FT,Research Scientist,60000,GBP,82528,United Kingdom,50,United Kingdom,L
2021,EX,FT,BI Data Analyst,150000,USD,150000,India,100,USA,L
2021,EX,FT,Head of Data,235000,USD,235000,USA,100,USA,L
2021,SE,FT,Data Scientist,45000,EUR,53192,France,50,France,L
2021,MI,FT,BI Data Analyst,100000,USD,100000,USA,100,USA,M
2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,India,50,India,M
2021,MI,CT,ML Engineer,270000,USD,270000,USA,100,USA,L
2021,EN,FT,Data Analyst,80000,USD,80000,USA,100,USA,M
2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,Germany,100,Germany,L
2021,MI,FT,Data Engineer,140000,USD,140000,USA,100,USA,L
2021,MI,FT,Applied Data Scientist,68000,CAD,54238,United Kingdom,50,Canada,L
2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,Spain,100,Spain,S
2021,EX,FT,Director of Data Science,130000,EUR,153667,Italy,100,Poland,L
2021,MI,FT,Data Engineer,110000,PLN,28476,Poland,100,Poland,L
2021,EN,FT,Data Analyst,50000,EUR,59102,France,50,France,M
2021,MI,FT,Data Analytics Engineer,110000,USD,110000,USA,100,USA,L
2021,SE,FT,Lead Data Analyst,170000,USD,170000,USA,100,USA,L
2021,SE,FT,Data Analyst,80000,USD,80000,Bulgaria,100,USA,S
2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,Greece,100,Denmark,L
2021,EN,FT,Data Science Consultant,65000,EUR,76833,Germany,100,Germany,S
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,India,100,India,L
2021,SE,FT,Lead Data Engineer,276000,USD,276000,USA,0,USA,L
2021,EN,FT,Data Scientist,2200000,INR,29751,India,50,India,L
2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,Singapore,50,Singapore,L
2021,EN,PT,AI Scientist,12000,USD,12000,Brazil,100,USA,S
2021,MI,FT,Financial Data Analyst,450000,USD,450000,USA,100,USA,L
2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,USA,100,USA,M
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,Germany,100,USA,S
2021,MI,FT,Data Analyst,75000,USD,75000,USA,0,USA,L
2021,SE,FT,Data Engineer,150000,USD,150000,USA,100,USA,L
2021,MI,FT,BI Data Analyst,11000000,HUF,36259,Hungary,50,USA,L
2021,MI,FT,Data Analyst,62000,USD,62000,USA,0,USA,L
2021,MI,FT,Data Scientist,73000,USD,73000,USA,0,USA,L
2021,MI,FT,Data Analyst,37456,GBP,51519,United Kingdom,50,United Kingdom,L
2021,MI,FT,Research Scientist,235000,CAD,187442,Canada,100,Canada,L
2021,SE,FT,Data Engineer,115000,USD,115000,USA,100,USA,S
2021,SE,FT,Data Engineer,150000,USD,150000,USA,100,USA,M
2021,EN,FT,Data Engineer,2250000,INR,30428,India,100,India,L
2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,Germany,50,Germany,L
2021,SE,FT,Director of Data Engineering,82500,GBP,113476,United Kingdom,100,United Kingdom,M
2021,SE,FT,Lead Data Engineer,75000,GBP,103160,United Kingdom,100,United Kingdom,S
2021,EN,PT,AI Scientist,12000,USD,12000,Pakistan,100,USA,M
2021,MI,FT,Data Engineer,38400,EUR,45391,Netherlands,100,Netherlands,L
2021,EN,FT,Machine Learning Scientist,225000,USD,225000,USA,100,USA,L
2021,MI,FT,Data Scientist,50000,USD,50000,Nigeria,100,Nigeria,L
2021,MI,FT,Data Science Engineer,34000,EUR,40189,Greece,100,Greece,M
2021,EN,FT,Data Analyst,90000,USD,90000,USA,100,USA,S
2021,MI,FT,Data Engineer,200000,USD,200000,USA,100,USA,L
2021,MI,FT,Big Data Engineer,60000,USD,60000,Spain,50,Romania,M
2021,SE,FT,Principal Data Engineer,200000,USD,200000,USA,100,USA,M
2021,EN,FT,Data Analyst,50000,USD,50000,USA,100,USA,M
2021,EN,FT,Applied Data Scientist,80000,GBP,110037,United Kingdom,0,United Kingdom,L
2021,EN,PT,Data Analyst,8760,EUR,10354,Spain,50,Spain,M
2021,MI,FT,Principal Data Scientist,151000,USD,151000,USA,100,USA,L
2021,SE,FT,Machine Learning Scientist,120000,USD,120000,USA,50,USA,S
2021,MI,FT,Data Scientist,700000,INR,9466,India,0,India,S
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,India,100,India,S
2021,SE,FT,Lead Data Scientist,3000000,INR,40570,India,50,India,L
2021,EN,FT,Machine Learning Developer,100000,USD,100000,Iraq,50,Iraq,S
2021,EN,FT,Data Scientist,42000,EUR,49646,France,50,France,M
2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,Vietnam,100,USA,M
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,Brazil,100,Brazil,M
2021,EN,FT,Data Scientist,100000,USD,100000,USA,0,USA,S
2021,MI,FT,Data Analyst,90000,USD,90000,USA,100,USA,M
2021,MI,FT,ML Engineer,7000000,JPY,63711,Japan,50,Japan,S
2021,MI,FT,ML Engineer,8500000,JPY,77364,Japan,50,Japan,S
2021,SE,FT,Principal Data Scientist,220000,USD,220000,USA,0,USA,L
2021,EN,FT,Data Scientist,80000,USD,80000,USA,100,USA,M
2021,MI,FT,Data Analyst,135000,USD,135000,USA,100,USA,L
2021,SE,FT,Data Science Manager,240000,USD,240000,USA,0,USA,L
2021,SE,FT,Data Engineering Manager,150000,USD,150000,USA,0,USA,L
2021,MI,FT,Data Scientist,82500,USD,82500,USA,100,USA,S
2021,MI,FT,Data Engineer,100000,USD,100000,USA,100,USA,L
2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,Belgium,50,Belgium,M
2021,MI,FT,Research Scientist,53000,EUR,62649,France,50,France,M
2021,MI,FT,Data Engineer,90000,USD,90000,USA,100,USA,L
2021,SE,FT,Data Engineering Manager,153000,USD,153000,USA,100,USA,L
2021,SE,FT,Cloud Data Engineer,160000,USD,160000,Brazil,100,USA,S
2021,SE,FT,Director of Data Science,168000,USD,168000,Japan,0,Japan,S
2021,MI,FT,Data Scientist,150000,USD,150000,USA,100,USA,M
2021,MI,FT,Data Scientist,95000,CAD,75774,Canada,100,Canada,L
2021,EN,FT,Data Scientist,13400,USD,13400,Ukraine,100,Ukraine,L
2021,SE,FT,Data Science Manager,144000,USD,144000,USA,100,USA,L
2021,SE,FT,Data Science Engineer,159500,CAD,127221,Canada,50,Canada,L
2021,MI,FT,Data Scientist,160000,SGD,119059,Singapore,100,Israel,M
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,USA,50,USA,L
2021,SE,FT,Data Analytics Manager,120000,USD,120000,USA,100,USA,M
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,USA,100,USA,S
2021,EX,FT,Head of Data,230000,USD,230000,Russia,50,Russia,L
2021,EX,FT,Head of Data Science,85000,USD,85000,Russia,0,Russia,M
2021,MI,FT,Data Engineer,24000,EUR,28369,Malta,50,Malta,L
2021,EN,FT,Data Science Consultant,54000,EUR,63831,Germany,50,Germany,L
2021,EX,FT,Director of Data Science,110000,EUR,130026,Germany,50,Germany,M
2021,SE,FT,Data Specialist,165000,USD,165000,USA,100,USA,L
2021,EN,FT,Data Engineer,80000,USD,80000,USA,100,USA,L
2021,EX,FT,Director of Data Science,250000,USD,250000,USA,0,USA,L
2021,EN,FT,BI Data Analyst,55000,USD,55000,USA,50,USA,S
2021,MI,FT,Data Architect,150000,USD,150000,USA,100,USA,L
2021,MI,FT,Data Architect,170000,USD,170000,USA,100,USA,L
2021,MI,FT,Data Engineer,60000,GBP,82528,United Kingdom,100,United Kingdom,L
2021,EN,FT,Data Analyst,60000,USD,60000,USA,100,USA,S
2021,SE,FT,Principal Data Scientist,235000,USD,235000,USA,100,USA,L
2021,SE,FT,Research Scientist,51400,EUR,60757,Portugal,50,Portugal,L
2021,SE,FT,Data Engineering Manager,174000,USD,174000,USA,100,USA,L
2021,MI,FT,Data Scientist,58000,MXN,2859,Mexico,0,Mexico,S
2021,MI,FT,Data Scientist,30400000,CLP,40038,Chile,100,Chile,L
2021,EN,FT,Machine Learning Engineer,81000,USD,81000,USA,50,USA,S
2021,MI,FT,Data Scientist,420000,INR,5679,India,100,USA,S
2021,MI,FT,Big Data Engineer,1672000,INR,22611,India,0,India,L
2021,MI,FT,Data Scientist,76760,EUR,90734,Germany,50,Germany,L
2021,MI,FT,Data Engineer,22000,EUR,26005,Romania,0,USA,L
2021,SE,FT,Finance Data Analyst,45000,GBP,61896,United Kingdom,50,United Kingdom,L
2021,MI,FL,Machine Learning Scientist,12000,USD,12000,Pakistan,50,Pakistan,M
2021,MI,FT,Data Engineer,4000,USD,4000,Iran,100,Iran,M
2021,SE,FT,Data Analytics Engineer,50000,USD,50000,Vietnam,100,United Kingdom,M
2021,EX,FT,Data Science Consultant,59000,EUR,69741,France,100,Spain,S
2021,SE,FT,Data Engineer,65000,EUR,76833,Romania,50,United Kingdom,S
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,Japan,50,Japan,S
2021,SE,FT,Data Science Manager,152000,USD,152000,USA,100,USA,L
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,Colombia,50,Colombia,M
2021,MI,FT,Big Data Engineer,18000,USD,18000,Moldova,0,Moldova,S
2021,SE,FT,Data Science Manager,174000,USD,174000,USA,100,USA,L
2021,SE,FT,Research Scientist,120500,CAD,96113,Canada,50,Canada,L
2021,MI,FT,Data Scientist,147000,USD,147000,USA,50,USA,L
2021,EN,FT,BI Data Analyst,9272,USD,9272,Kenya,100,Kenya,S
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,India,100,India,L
2021,SE,FT,Data Science Manager,4000000,INR,54094,India,50,USA,L
2021,EN,FT,Data Science Consultant,90000,USD,90000,USA,100,USA,S
2021,MI,FT,Data Scientist,52000,EUR,61467,Germany,50,Austria,M
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,USA,100,USA,M
2021,MI,FT,Data Scientist,32000,EUR,37825,Spain,100,Spain,L
2021,SE,FT,Research Scientist,50000,USD,50000,France,100,USA,S
2021,MI,FT,Data Scientist,160000,USD,160000,USA,100,USA,L
2021,MI,FT,Data Scientist,69600,BRL,12901,Brazil,0,Brazil,S
2021,SE,FT,Machine Learning Engineer,200000,USD,200000,USA,100,USA,L
2021,SE,FT,Data Engineer,165000,USD,165000,USA,0,USA,M
2021,MI,FL,Data Engineer,20000,USD,20000,Italy,0,USA,L
2021,SE,FT,Data Analytics Manager,120000,USD,120000,USA,0,USA,L
2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,Slovenia,50,Slovenia,L
2021,MI,FT,Research Scientist,48000,EUR,56738,France,50,France,S
2021,MI,FT,Data Engineer,48000,GBP,66022,Hong Kong,50,United Kingdom,S
2021,EN,FT,Big Data Engineer,435000,INR,5882,India,0,Switzerland,L
2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,Germany,50,Germany,M
2021,SE,FT,Principal Data Engineer,185000,USD,185000,USA,100,USA,L
2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,Denmark,50,Denmark,S
2021,MI,FT,Data Scientist,76760,EUR,90734,Germany,50,Germany,L
2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,Belgium,100,Belgium,M
2021,SE,FT,Data Analytics Manager,140000,USD,140000,USA,100,USA,L
2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,Poland,100,Poland,L
2021,MI,FT,Data Scientist,85000,GBP,116914,United Kingdom,50,United Kingdom,L
2021,MI,FT,Data Scientist,2500000,INR,33808,India,0,India,M
2021,MI,FT,Data Scientist,40900,GBP,56256,United Kingdom,50,United Kingdom,L
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,USA,100,USA,L
2021,EX,CT,Principal Data Scientist,416000,USD,416000,USA,100,USA,S
2021,SE,FT,Data Scientist,110000,CAD,87738,Canada,100,Canada,S
2021,MI,FT,Data Scientist,75000,EUR,88654,Germany,50,Germany,L
2021,SE,FT,Data Scientist,135000,USD,135000,USA,0,USA,L
2021,SE,FT,Data Analyst,90000,CAD,71786,Canada,100,Canada,M
2021,EN,FT,Big Data Engineer,1200000,INR,16228,India,100,India,L
2021,SE,FT,ML Engineer,256000,USD,256000,USA,100,USA,S
2021,SE,FT,Director of Data Engineering,200000,USD,200000,USA,100,USA,L
2021,SE,FT,Data Analyst,200000,USD,200000,USA,100,USA,L
2021,MI,FT,Data Architect,180000,USD,180000,USA,100,USA,L
2021,MI,FT,Head of Data Science,110000,USD,110000,USA,0,USA,S
2021,MI,FT,Research Scientist,80000,CAD,63810,Canada,100,Canada,M
2021,MI,FT,Data Scientist,39600,EUR,46809,Spain,100,Spain,M
2021,EN,FT,Data Scientist,4000,USD,4000,Vietnam,0,Vietnam,M
2021,EN,FT,Data Engineer,1600000,INR,21637,India,50,India,M
2021,SE,FT,Data Scientist,130000,CAD,103691,Canada,100,Canada,L
2021,MI,FT,Data Analyst,80000,USD,80000,USA,100,USA,L
2021,MI,FT,Data Engineer,110000,USD,110000,USA,100,USA,L
2021,SE,FT,Data Scientist,165000,USD,165000,USA,100,USA,L
2021,EN,FT,AI Scientist,1335000,INR,18053,India,100,Samoa,S
2021,MI,FT,Data Engineer,52500,GBP,72212,United Kingdom,50,United Kingdom,L
2021,EN,FT,Data Scientist,31000,EUR,36643,France,50,France,L
2021,MI,FT,Data Engineer,108000,TRY,12103,Turkey,0,Turkey,M
2021,SE,FT,Data Engineer,70000,GBP,96282,United Kingdom,50,United Kingdom,L
2021,SE,FT,Principal Data Analyst,170000,USD,170000,USA,100,USA,M
2021,MI,FT,Data Scientist,115000,USD,115000,USA,50,USA,L
2021,EN,FT,Data Scientist,90000,USD,90000,USA,100,USA,S
2021,EX,FT,Principal Data Engineer,600000,USD,600000,USA,100,USA,L
2021,EN,FT,Data Scientist,2100000,INR,28399,India,100,India,M
2021,MI,FT,Data Analyst,93000,USD,93000,USA,100,USA,L
2021,SE,FT,Big Data Architect,125000,CAD,99703,Canada,50,Canada,M
2021,MI,FT,Data Engineer,200000,USD,200000,USA,100,USA,L
2021,SE,FT,Principal Data Scientist,147000,EUR,173762,Germany,100,Germany,M
2021,SE,FT,Machine Learning Engineer,185000,USD,185000,USA,50,USA,L
2021,EX,FT,Director of Data Science,120000,EUR,141846,Germany,0,Germany,L
2021,MI,FT,Data Scientist,130000,USD,130000,USA,50,USA,L
2021,SE,FT,Data Analyst,54000,EUR,63831,Germany,50,Germany,L
2021,MI,FT,Data Scientist,1250000,INR,16904,India,100,India,S
2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,India,0,India,L
2021,MI,FT,Data Scientist,21600,EUR,25532,Serbia,100,Germany,S
2021,SE,FT,Lead Data Engineer,160000,USD,160000,Puerto Rico,50,USA,S
2021,MI,FT,Data Engineer,93150,USD,93150,USA,0,USA,M
2021,MI,FT,Data Engineer,111775,USD,111775,USA,0,USA,M
2021,MI,FT,Data Engineer,250000,TRY,28016,Turkey,100,Turkey,M
2021,EN,FT,Data Engineer,55000,EUR,65013,Germany,50,Germany,M
2021,EN,FT,Data Engineer,72500,USD,72500,USA,100,USA,L
2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,Brazil,0,Brazil,M
2021,EN,FT,Data Science Consultant,65000,EUR,76833,Germany,0,Germany,L
2021,EN,FT,Machine Learning Engineer,85000,USD,85000,Netherlands,100,Germany,S
2021,SE,FT,Data Scientist,65720,EUR,77684,France,50,France,M
2021,EN,FT,Data Scientist,100000,USD,100000,USA,100,USA,M
2021,EN,FT,Data Scientist,58000,USD,58000,USA,50,USA,L
2021,SE,FT,AI Scientist,55000,USD,55000,Spain,100,Spain,L
2021,SE,FT,Data Scientist,180000,TRY,20171,Turkey,50,Turkey,L
2021,EN,FT,Business Data Analyst,50000,EUR,59102,Luxembourg,100,Luxembourg,L
2021,MI,FT,Data Engineer,112000,USD,112000,USA,100,USA,L
2021,EN,FT,Research Scientist,100000,USD,100000,Jersey,0,China,L
2021,MI,PT,Data Engineer,59000,EUR,69741,Netherlands,100,Netherlands,L
2021,SE,CT,Staff Data Scientist,105000,USD,105000,USA,100,USA,M
2021,MI,FT,Research Scientist,69999,USD,69999,Czechia,50,Czechia,L
2021,SE,FT,Data Science Manager,7000000,INR,94665,India,50,India,L
2021,SE,FT,Head of Data,87000,EUR,102839,Slovenia,100,Slovenia,L
2021,MI,FT,Data Scientist,109000,USD,109000,USA,50,USA,L
2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,Italy,50,Italy,L
2022,SE,FT,Data Engineer,135000,USD,135000,USA,100,USA,M
2022,SE,FT,Data Analyst,155000,USD,155000,USA,100,USA,M
2022,SE,FT,Data Analyst,120600,USD,120600,USA,100,USA,M
2022,MI,FT,Data Scientist,130000,USD,130000,USA,0,USA,M
2022,MI,FT,Data Scientist,90000,USD,90000,USA,0,USA,M
2022,MI,FT,Data Engineer,170000,USD,170000,USA,100,USA,M
2022,MI,FT,Data Engineer,150000,USD,150000,USA,100,USA,M
2022,SE,FT,Data Analyst,102100,USD,102100,USA,100,USA,M
2022,SE,FT,Data Analyst,84900,USD,84900,USA,100,USA,M
2022,SE,FT,Data Scientist,136620,USD,136620,USA,100,USA,M
2022,SE,FT,Data Scientist,99360,USD,99360,USA,100,USA,M
2022,SE,FT,Data Scientist,90000,GBP,117789,United Kingdom,0,United Kingdom,M
2022,SE,FT,Data Scientist,80000,GBP,104702,United Kingdom,0,United Kingdom,M
2022,SE,FT,Data Scientist,146000,USD,146000,USA,100,USA,M
2022,SE,FT,Data Scientist,123000,USD,123000,USA,100,USA,M
2022,EN,FT,Data Engineer,40000,GBP,52351,United Kingdom,100,United Kingdom,M
2022,SE,FT,Data Analyst,99000,USD,99000,USA,0,USA,M
2022,SE,FT,Data Analyst,116000,USD,116000,USA,0,USA,M
2022,MI,FT,Data Analyst,106260,USD,106260,USA,0,USA,M
2022,MI,FT,Data Analyst,126500,USD,126500,USA,0,USA,M
2022,EX,FT,Data Engineer,242000,USD,242000,USA,100,USA,M
2022,EX,FT,Data Engineer,200000,USD,200000,USA,100,USA,M
2022,MI,FT,Data Scientist,50000,GBP,65438,United Kingdom,0,United Kingdom,M
2022,MI,FT,Data Scientist,30000,GBP,39263,United Kingdom,0,United Kingdom,M
2022,MI,FT,Data Engineer,60000,GBP,78526,United Kingdom,0,United Kingdom,M
2022,MI,FT,Data Engineer,40000,GBP,52351,United Kingdom,0,United Kingdom,M
2022,SE,FT,Data Scientist,165220,USD,165220,USA,100,USA,M
2022,EN,FT,Data Engineer,35000,GBP,45807,United Kingdom,100,United Kingdom,M
2022,SE,FT,Data Scientist,120160,USD,120160,USA,100,USA,M
2022,SE,FT,Data Analyst,90320,USD,90320,USA,100,USA,M
2022,SE,FT,Data Engineer,181940,USD,181940,USA,0,USA,M
2022,SE,FT,Data Engineer,132320,USD,132320,USA,0,USA,M
2022,SE,FT,Data Engineer,220110,USD,220110,USA,0,USA,M
2022,SE,FT,Data Engineer,160080,USD,160080,USA,0,USA,M
2022,SE,FT,Data Scientist,180000,USD,180000,USA,0,USA,L
2022,SE,FT,Data Scientist,120000,USD,120000,USA,0,USA,L
2022,SE,FT,Data Analyst,124190,USD,124190,USA,100,USA,M
2022,EX,FT,Data Analyst,130000,USD,130000,USA,100,USA,M
2022,EX,FT,Data Analyst,110000,USD,110000,USA,100,USA,M
2022,SE,FT,Data Analyst,170000,USD,170000,USA,100,USA,M
2022,MI,FT,Data Analyst,115500,USD,115500,USA,100,USA,M
2022,SE,FT,Data Analyst,112900,USD,112900,USA,100,USA,M
2022,SE,FT,Data Analyst,90320,USD,90320,USA,100,USA,M
2022,SE,FT,Data Analyst,112900,USD,112900,USA,100,USA,M
2022,SE,FT,Data Analyst,90320,USD,90320,USA,100,USA,M
2022,SE,FT,Data Engineer,165400,USD,165400,USA,100,USA,M
2022,SE,FT,Data Engineer,132320,USD,132320,USA,100,USA,M
2022,MI,FT,Data Analyst,167000,USD,167000,USA,100,USA,M
2022,SE,FT,Data Engineer,243900,USD,243900,USA,100,USA,M
2022,SE,FT,Data Analyst,136600,USD,136600,USA,100,USA,M
2022,SE,FT,Data Analyst,109280,USD,109280,USA,100,USA,M
2022,SE,FT,Data Engineer,128875,USD,128875,USA,100,USA,M
2022,SE,FT,Data Engineer,93700,USD,93700,USA,100,USA,M
2022,EX,FT,Head of Data Science,224000,USD,224000,USA,100,USA,M
2022,EX,FT,Head of Data Science,167875,USD,167875,USA,100,USA,M
2022,EX,FT,Analytics Engineer,175000,USD,175000,USA,100,USA,M
2022,SE,FT,Data Engineer,156600,USD,156600,USA,100,USA,M
2022,SE,FT,Data Engineer,108800,USD,108800,USA,0,USA,M
2022,SE,FT,Data Scientist,95550,USD,95550,USA,0,USA,M
2022,SE,FT,Data Engineer,113000,USD,113000,USA,0,USA,L
2022,SE,FT,Data Analyst,135000,USD,135000,USA,100,USA,M
2022,SE,FT,Data Science Manager,161342,USD,161342,USA,100,USA,M
2022,SE,FT,Data Science Manager,137141,USD,137141,USA,100,USA,M
2022,SE,FT,Data Scientist,167000,USD,167000,USA,100,USA,M
2022,SE,FT,Data Scientist,123000,USD,123000,USA,100,USA,M
2022,SE,FT,Data Engineer,60000,GBP,78526,United Kingdom,0,United Kingdom,M
2022,SE,FT,Data Engineer,50000,GBP,65438,United Kingdom,0,United Kingdom,M
2022,SE,FT,Data Scientist,150000,USD,150000,USA,0,USA,M
2022,SE,FT,Data Scientist,211500,USD,211500,USA,100,USA,M
2022,SE,FT,Data Architect,192400,USD,192400,Canada,100,Canada,M
2022,SE,FT,Data Architect,90700,USD,90700,Canada,100,Canada,M
2022,SE,FT,Data Analyst,130000,USD,130000,Canada,100,Canada,M
2022,SE,FT,Data Analyst,61300,USD,61300,Canada,100,Canada,M
2022,SE,FT,Data Analyst,130000,USD,130000,Canada,100,Canada,M
2022,SE,FT,Data Analyst,61300,USD,61300,Canada,100,Canada,M
2022,SE,FT,Data Engineer,160000,USD,160000,USA,0,USA,L
2022,SE,FT,Data Scientist,138600,USD,138600,USA,100,USA,M
