,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
10419,US,"This is a well-balanced, handsomely composed wine that is big in flavor and full in body. The aromas are spicy like black pepper and cardamom, the flavors are meaty, peppery, smoky and berry-like, for a great taste experience that goes way beyond the usual. It's made mostly from Mourvèdre grapes, with Syrah and Grenache in supporting roles.",Ruben,91,38.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,The Withers Winery 2013 Ruben Red (El Dorado),Rhône-style Red Blend,The Withers Winery
98338,US,"The scouring mouthfeel of this wine is its biggest issue. Although it's dryish and creamy, with pleasant flavors of dough, lime, orange and vanilla, its roughness limits its score.",Blanc de Blancs,85,25.0,California,Russian River Valley,Sonoma,,,Biltmore Estate NV Blanc de Blancs Sparkling (Russian River Valley),Sparkling Blend,Biltmore Estate
50878,Italy,"This generous wine opens with aromas of ripe dark berry, ground pepper and graphite. The round, juicy palate offers mature black cherry, blackberry jam, menthol and licorice alongside chewy tannins. Drink through 2021.",Praepositus Riserva,90,40.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Abbazia di Novacella 2011 Praepositus Riserva Lagrein (Alto Adige),Lagrein,Abbazia di Novacella
105822,Spain,"Reedy red-fruit aromas lack the clarity that the best wines of this style show. Grabby on the palate, this tastes of basic plum and raspberry. A raw, tannic, rubbery finish is the final act.",,84,11.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Rio Madre 2014  Rioja,Tempranillo,Rio Madre
5757,US,"Intoxicating aromas of plum jelly, violets, blueberry, chocolate and cinnamon are cut with a pencil-lead focus on this bottling by a family in the Paso wine game since 1908. Flavors of blackberry jelly are lifted by lavender and anise spice.",Osso Balenda Vineyard,92,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Rotta 2013 Osso Balenda Vineyard Zinfandel (Paso Robles),Zinfandel,Rotta
40810,Spain,"Soft, baked aromas of rooty, dark-berry fruits are easier going than the wine's high-toned, acid-driven palate. Flavors of vanilla, coconut, tobacco, prune and spiced berry fruits finish with length and structure along with tobacco and nutmeg accents. Drink through 2020.",La Dama,90,43.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Aldonia 2007 La Dama  (Rioja),Tempranillo Blend,Aldonia
125946,US,"This wine contains 14% “mixed blacks,” including grapes like Alicante Bouschet, and is powerful and ripe. Its flavors seem at once tart and sweet, framed by dusty cherry and vanilla. There's a persistent, feral, compost-like thread throughout its dense structure and tannic finish.",Pagani Ranch,90,47.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Carlisle 2014 Pagani Ranch Zinfandel (Sonoma Valley),Zinfandel,Carlisle
63106,US,"Heady floral perfume is flecked with orange spice and potpourri on this aromatic, full-bodied Gewürztraminer. Unusually tart for the grape variety, the palate is puckery with lemon-tangerine acidity and a fringe of tannins on the finish.",,84,23.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,One Woman 2012 Gewürztraminer (North Fork of Long Island),Gewürztraminer,One Woman
24068,US,"After some initial sulfur notes blew off, intense aromas of red fruit and grilled vegetables appeared. It's a bit watery in the mouth but shows nice cherry fruit. The clipped finish winds up on a faint note of licorice. Drink now.",,85,20.0,New York,Finger Lakes,Finger Lakes,,,Rooster Hill 2007 Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Rooster Hill
81889,Germany,"Spice and smoke tones on the nose are a surprising contrast to the juicy white peach and yellow cherry flavors on the palate of this easy quaffing but surprisingly elegant wine. Off dry in style, with brisk acidity and a delicate profile, it's a versatile, widely appealing wine that's a spectacular bargain.",,89,10.0,Mosel,,,Anna Lee C. Iijima,,Nein Lives 2011 Riesling (Mosel),Riesling,Nein Lives
49880,US,"Alexandria Nicole's Shepherds Mark is a Rhône blend of Roussanne, Marsanne and Viognier, sourced from the Destiny Ridge (estate) vineyard. Barrel fermented in neutral oak, it presents an inviting floral blossom nose, leading into a delicious mix of citrus, white peach, melon and light tropical fruits. It's rich but never tiring.",Shepherds Mark White,90,20.0,Washington,Horse Heaven Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Alexandria Nicole 2008 Shepherds Mark White White (Horse Heaven Hills),White Blend,Alexandria Nicole
76892,US,"Grown sustainably on land between the Santa Lucia Highlands and Carmel, this great-smelling wine shows light caramel apple and sea salt on the nose. There's a judicious touch of butter to the palate, where flavors of green pear and lemon zest leave the mouth watering with acidity long into the finish.",Russell Estate,92,40.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,DeTierra Vineyards 2012 Russell Estate Chardonnay (Monterey),Chardonnay,DeTierra Vineyards
78128,Portugal,"The name Mãe translates as “mother vine” and this wine, made from the oldest vines on the estate, delves back into the roots of winemaking by using traditional open fermenting tanks and long wood aging. It is concentrated and ripe, still full of tannins and a powerful, dry and smoky structure. Age this wine for several years and drink from 2020.",Vinha Mãe,94,40.0,Lisboa,,,Roger Voss,@vossroger,Quinta de Chocapalha 2012 Vinha Mãe Red (Lisboa),Portuguese Red,Quinta de Chocapalha
108001,US,"Chardonnay doesn't get much richer or riper than this. Explodes with grilled pineapple, lemondrop, smoky meringue, buttered toast and cinnamon spice flavors, brightened and boosted by crisp, citrusy cool-climate acidity. Racy and clean and complex, it should develop bottle nuance over the next four years.",Porter-Bass Vineyard,93,40.0,California,Sonoma Coast,Sonoma,,,Bjornstad 2007 Porter-Bass Vineyard Chardonnay (Sonoma Coast),Chardonnay,Bjornstad
128459,US,"Great price for a Syrah this good, from this esteemed producer. While it doesn't have the complexity of Novy's single-vineyard Syrahs, it's drily elegant, with complex blackberry, cola, herb and pepper flavors that shift in the glass as the wine airs. Drink now.",,88,19.0,California,Sonoma County,Sonoma,,,Novy 2009 Syrah (Sonoma County),Syrah,Novy
36509,Spain,"There are only two words for this carbonic-macerated Mencía: Bug Juice. Aromas of wild-berry fruits are clumsy and wooly. This feels narrow, raw and choppy, with gritty plum and candied berry flavors that fall off on the finish.",Palacio de Canedo Maceración Ecológico,83,20.0,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Prada A Tope 2015 Palacio de Canedo Maceración Ecológico Mencía (Bierzo),Mencía,Prada A Tope
103913,Italy,"Aromas of ripe dark-skinned fruit, leather, clove, rose and a whiff of menthol set the tone. The firmly structured palate offers dried black cherry, licorice, tobacco and grilled herb alongside assertive tannins. Drink 2017–2025.",Ornato,91,66.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Palladino 2012 Ornato  (Barolo),Nebbiolo,Palladino
65197,Spain,"Punchy citrus, apple and lanolin aromas are a bit dusty and entirely typical of Rías Baixas Albariño. Direct citrus flavors and a note of briny orange peel finish a bit salty, with a hint of green banana.",,88,16.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Licia 2016 Albariño (Rías Baixas),Albariño,Licia
127880,US,"A blend of Merlot and Syrah, the aromas of smoke, matchstick, high-toned dried herb, spice and purple fruit give way to quite sweet-seeming dark-fruit flavors. Lightly grainy tannins provide support. The sweetness seems distracting.",,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Winery 2015 Red (Columbia Valley (WA)),Red Blend,Columbia Winery
68096,Italy,"This well-priced Ripasso opens with soft, but plump aromas of ripe fruit, blackberry and barbecue spice. The wine shows a clean, smooth quality with a simple but satisfying finish.",Capitel della Crosara,87,17.0,Veneto,Valpolicella Ripasso,,,,Montresor 2009 Capitel della Crosara  (Valpolicella Ripasso),"Corvina, Rondinella, Molinara",Montresor
53996,US,"Showing brown edges, this rapidly maturing wine is scented with cooked plum, brown sugar and baking spices. Thin and bitter in the mouth, with astringent tannins and a flat finish.",Reserve,81,17.0,Washington,Rattlesnake Hills,Columbia Valley,Paul Gregutt,@paulgwine ,Silver Lake 2004 Reserve Merlot (Rattlesnake Hills),Merlot,Silver Lake
75991,US,"WillaKenzie's most affordable estate-grown Pinot, this opens with a truly lovely bouquet of rose petals, raspberries and dusty chocolate. Soft and smooth upon entry, it's a light, detailed and sophisticated vineyard blend that spent 10 months in 20% new oak.",Gisèle,89,30.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,WillaKenzie Estate 2013 Gisèle Pinot Noir,Pinot Noir,WillaKenzie Estate
38638,US,"This is a blend of Cabernet, Pinot, Sangiovese, Zin and three other varieties, and it will please fruit-forward fans for its wealth of cherries, raspberries, cola and peppermint candy flavors.",Rosato,84,17.0,California,Napa Valley,Napa,,,Kuleto Estate 2006 Rosato Sangiovese (Napa Valley),Sangiovese,Kuleto Estate
29897,Austria,"The nose is almost completely closed: the palate slowly opens up into full-fruited, velvet-textured density that speaks of juicy black and red cherries. There are edges of peppery spice, hints of tar and iron oxide, tinting the fruit with mineral interest. The tannins are firm but ripe: they stand upright and proud. The palate is rich, dense and taut and clearly made to last. Drink 2018–2028.",Marienthal,94,110.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Prieler 2012 Marienthal Blaufränkisch (Burgenland),Blaufränkisch,Prieler
99561,US,"Fine and pure, this is a very good representative of Oak Knoll. The vintage had lots of warmth, coaxing ripe blackberry and currant flavors from the grapes, while preserving dryness, vital tannins and crisp acid structure. Overall, it is elegant and luscious. Good as it is now, give this at least six years.",Lamoreaux Vineyards Oak Knoll Ranch,93,90.0,California,Napa Valley,Napa,,,Sequoia Grove 2008 Lamoreaux Vineyards Oak Knoll Ranch Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove
19636,US,"Grown in the Happy Canyon section of eastern Santa Ynez, an area that one of these days will be an official appellation. It's warm back in that canyon, and this Sangiovese is sugary in sweet berries and cherries. Has nothing in common at all with Italian Sangiovese.",,84,22.0,California,Santa Ynez Valley,Central Coast,,,Carr 2005 Sangiovese (Santa Ynez Valley),Sangiovese,Carr
48596,France,"On the herbaceous side, this is a full bodied but grassy wine with hints of green undergrowth and a cat-like character. It has a modern, forward fruitiness that's very new world in style. Drink now.",,85,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Roquefort 2012  Bordeaux Blanc,Bordeaux-style White Blend,Château Roquefort
87457,US,"As advertised, this lush white is barrel fermented in 40% new French oak, and it imparts quite a bit of that upbringing in its toasty character. Apple and preserved lemon offset ripe fruit flavors.",Barrel Fermented,86,29.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Eco Terreno 2014 Barrel Fermented Chardonnay (Alexander Valley),Chardonnay,Eco Terreno
100562,France,"Earthy ripeness of peach and yellow plum abounds. The palate is rounded and medium sweet, suggesting jellied and crystallized fruit confections with an appetizingly tart edge. Drink soon.",,87,30.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Vincent Stoeffler 2015 Gewurztraminer (Alsace),Gewürztraminer,Domaine Vincent Stoeffler
105552,France,"92–94. Barrel sample. This is a full and opulent wine comprised of 76% Merlot. The palate has weight, and coffee and black-plum flavors that lend richness and a smoky, spicy character.",La Dame de Montrose Barrel Sample,93,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Montrose 2012 La Dame de Montrose Barrel Sample  (Saint-Estèphe),Bordeaux-style Red Blend,Château Montrose
64451,US,"From century-old grapevines found on Santa Cruz Island, this bottling offers concentrated raspberry and a touch of strawberry, lifted by eucalyptus and lavender notes. The palate is enlivening, with tight cranberry fruit, elderflower and pencil-lead flavors.",Estate,90,45.0,California,Ballard Canyon,Central Coast,Matt Kettmann,@mattkettmann,Rusack 2013 Estate Zinfandel (Ballard Canyon),Zinfandel,Rusack
20358,US,"In 2011 the alcohol drops a bit and the fruit comes forward, stepping slightly away from the strongly herbal flavors of the 2010. It's reflective of the vintage, and perhaps more immediately approachable, without sacrificing any of the complexity or structure that typifies Gramercy wines. Strongly aromatic flavors of blackberry, black cherry, cola and licorice are all in play, backed with refreshing minerality. The wine should age beautifully for a decade or more.",,94,50.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Gramercy 2011 Syrah (Walla Walla Valley (WA)),Syrah,Gramercy
39165,Italy,"Aromas of chamomile flowers, pineapple and a whiff of bread crust lead the way. The bright palate offers ripe golden apple, toasted almond, light pastry cream and a hint of aromatic herbs alongside a soft mousse.",Opere Serenissima Metodo Classico,88,,Italy Other,Vino Spumante,,Kerin O’Keefe,@kerinokeefe,Villa Sandi 2012 Opere Serenissima Metodo Classico Sparkling (Vino Spumante),Sparkling Blend,Villa Sandi
118900,US,"An okay wine that's light in color and aromatics, traceable in part to its cooler-climate heritage (95% of the grapes were grown in Mendocino, the rest in Sonoma, Monterey and Santa Barbara), which does give it some subtly pleasing red fruit and spice notes. But 2008 was also for much of Mendocino a vintage from hell and this wine may in truth be reflecting that year's challenges.",Jackson Estates Grown Vintner's Reserve,84,16.0,California,Mendocino County,,Virginie Boone,@vboone,Kendall-Jackson 2008 Jackson Estates Grown Vintner's Reserve Zinfandel (Mendocino County),Zinfandel,Kendall-Jackson
70748,US,"This puckering, tannic and brawny wine has a lot of body and a shyness of fruit, lingering in clove and tobacco.",Winemaker's Blend,83,23.0,California,Sonoma County-Napa County,Napa-Sonoma,Virginie Boone,@vboone,Ghost Pines 2013 Winemaker's Blend Merlot (Sonoma County-Napa County),Merlot,Ghost Pines
77762,France,"This small domaine in the Mâcon region has produced a soft, ripe wine with attractive strawberry fruits. It's rounded, with just light acidity over the fruit flavors. At the end, it feels warm and ripe. Drink now.",,86,20.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Domaine Olivier Merlin 2011  Bourgogne,Pinot Noir,Domaine Olivier Merlin
5031,France,"Very rich, this ripe and rounded wine is typical of the powerful 2010 vintage. It's dense and concentrated, packed with black plum and sweet berry fruits. It shows a dense structure along with juicy fruits. It could be over the top, but the acidity and tannins hold it back. Drink from 2018.",,91,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château de Ferrand 2010  Saint-Émilion,Bordeaux-style Red Blend,Château de Ferrand
24405,US,Stone-fruit aromas of nectarine and ripe peach drizzled with honey are followed by medium-plus sweet fruit flavors. It's a straight-forward easy drinker.,Late Harvest,86,8.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Hogue 2015 Late Harvest Riesling (Columbia Valley (WA)),Riesling,Hogue
126197,US,"A big, rich, exuberant Pinot Noir. Floods the mouth with cherry pie, raspberry tart, vanilla and sweet oak flavors that are frankly delicious. It's a bit one-dimensional, but clean and crisp. Best now.",Bien Nacido Vineyard,88,50.0,California,Santa Barbara County,Central Coast,,,Fess Parker 2008 Bien Nacido Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,Fess Parker
116576,Chile,"Briary berry aromas come with notes of mint and oak-based vanilla scents. Earthy berry, prune and licorice flavors finish with rooty spice and mild herbal notes.",Tributo Single Vineyard,88,20.0,Colchagua Valley,,,Michael Schachner,@wineschach,Caliterra 2012 Tributo Single Vineyard Syrah (Colchagua Valley),Syrah,Caliterra
