ID,Education,Marital,Income,Kid,PurNum_Web,PurNum_Deals,$Meat,$Fish,$Wines,Fruits
4114,Master,Married,79143,0,6,1,780,27,650,37
1331,Graduation,Single,35790,1,2,2,20,30,12,6
2225,Graduation,Divorced,82582,0,4,1,550,156,510,120
9381,Graduation,Married,66373,1,4,7,124,12,328,9
6260,Master,Married,82384,0,3,1,432,180,984,51
10383,Graduation,Divorced,70287,0,5,1,482,121,295,35
7437,Graduation,Single,27938,1,1,1,8,2,13,0
8557,Graduation,Single,,1,2,2,22,2,11,3
8375,PhD,Married,55954,0,8,3,28,0,447,0
6853,Master,Single,75777,0,3,1,538,69,712,26
3076,Graduation,Married,66653,1,4,4,102,16,452,18
1012,Graduation,Single,61823,0,8,4,134,37,523,7
6518,PhD,Other,67680,0,7,1,48,0,546,0
4137,Graduation,Married,70666,0,7,1,367,119,398,40
8082,Graduation,Married,25721,1,1,1,6,3,1,3
1386,Graduation,Married,32474,1,1,1,1,0,10,0
9369,Basic,Single,88194,0,11,1,309,201,688,14
4477,Graduation,Married,69096,0,5,1,159,7,247,49
1357,Graduation,Married,74854,1,2,7,487,58,856,59
1402,Master,Married,66991,0,4,3,460,189,496,36
10629,Basic,Married,,1,3,3,43,17,25,3
6312,Graduation,Married,65031,0,10,4,291,84,258,107
8132,PhD,Married,60631,1,9,5,65,0,565,6
1050,Graduation,Married,28332,0,2,1,13,4,14,10
5846,Graduation,Divorced,40246,1,1,1,6,2,2,1
1859,Master,Married,75251,0,7,1,925,97,721,111
7503,Graduation,Single,75825,0,5,0,779,137,1032,105
10401,Basic,Married,26326,0,0,1,5,0,1,0
1618,Graduation,Married,56046,0,10,2,64,0,577,0
3332,Graduation,Single,29760,1,3,4,68,7,64,4
2261,Graduation,Married,26304,1,1,1,5,2,4,1
5346,Basic,Married,23559,1,3,3,19,7,25,5
4119,Master,Married,38620,0,2,1,44,34,112,17
535,Graduation,Divorced,81361,0,3,1,424,27,163,23
5268,Graduation,Married,29440,1,1,2,14,10,17,8
273,Master,Married,36138,1,3,5,16,0,130,0
4452,Graduation,Single,50388,0,6,4,37,0,292,6
8504,Graduation,Married,79593,0,5,1,568,110,350,60
771,Graduation,Married,54178,0,2,1,39,4,135,9
8996,PhD,Married,,2,7,12,192,49,230,42
9235,Graduation,Single,,1,1,1,8,2,7,0
5798,Master,Married,,0,2,1,359,98,445,37
11178,Master,Single,42394,1,1,1,10,0,15,2
2230,PhD,Married,23626,1,3,3,14,0,27,2
7516,Graduation,Married,30096,1,2,1,11,12,5,3
7247,Graduation,Other,47916,0,7,5,26,0,505,0
11100,Graduation,Divorced,51813,1,2,2,7,0,51,2
4646,Basic,Married,78497,0,5,1,447,75,207,26
3037,PhD,Married,50150,0,5,2,92,65,135,46
1473,Basic,Single,47823,0,2,2,5,2,53,1
1016,PhD,Single,34554,0,2,2,6,2,41,1
4518,Graduation,Married,85693,0,9,2,183,185,386,172
9370,PhD,Married,65846,0,6,1,276,80,562,81
8908,Graduation,Married,87195,0,3,1,690,50,217,76
8373,Basic,Married,24594,1,1,1,6,10,1,3
7533,Graduation,Married,49096,1,4,4,32,2,144,1
2683,Graduation,Married,52413,0,6,4,271,75,295,106
3629,Graduation,Single,38557,1,3,2,31,4,76,3
10991,Master,Married,89058,0,5,1,106,31,454,194
5077,Graduation,Married,77298,0,6,1,292,23,425,115
7431,PhD,Single,68126,0,7,1,311,23,1332,17
3267,Master,Married,57288,0,8,3,21,0,527,0
999,Graduation,Single,86037,0,6,1,125,29,490,44
9215,PhD,Married,43974,1,6,5,101,0,378,0
2286,Graduation,Single,50785,1,2,2,21,0,64,1
1592,Graduation,Married,90765,0,4,0,812,151,547,99
367,Basic,Married,36550,1,9,5,94,123,47,90
5234,Basic,Married,30753,1,1,2,25,0,12,5
9862,Graduation,Married,21918,1,2,2,7,11,1,6
9805,Master,Married,56129,0,6,4,133,39,320,48
6205,Master,Single,32557,1,2,3,29,0,34,3
8442,Master,Married,19510,2,1,2,7,3,9,0
7386,Graduation,Divorced,30992,1,1,1,14,7,17,0
7215,Graduation,Single,101970,0,6,0,102,44,722,27
1491,Basic,Married,71488,0,3,2,124,40,162,33
11071,Graduation,Single,79607,0,3,1,951,173,450,133
3381,Master,Married,54348,1,2,2,16,0,70,0
8268,PhD,Married,,0,6,3,27,10,352,0
11051,PhD,Married,77376,1,6,4,110,16,492,19
8026,Graduation,Married,62998,0,5,5,73,65,120,58
433,Master,Other,61331,1,11,5,47,0,534,5
9597,Graduation,Married,73448,0,7,1,189,23,236,106
1295,Graduation,Married,,0,6,1,196,38,231,65
5290,PhD,Married,41551,1,5,5,33,3,220,0
1685,PhD,Married,62981,0,4,1,590,38,796,14
5342,Basic,Divorced,9548,1,1,2,3,10,0,1
9579,PhD,Married,33762,2,2,3,34,2,53,1
7660,PhD,Other,35860,1,1,2,8,4,15,0
1461,PhD,Divorced,36921,1,2,2,12,3,17,1
821,Master,Single,92859,0,5,1,921,52,962,61
11084,Master,Married,65104,0,3,2,232,13,738,0
8690,Graduation,Married,86111,0,5,1,756,36,399,28
2937,PhD,Single,68352,0,8,3,132,43,614,16
9701,Graduation,Married,41883,1,4,3,41,73,32,34
9949,Graduation,Married,59809,0,3,3,141,32,598,16
10837,Graduation,Married,23957,1,2,1,18,20,2,1
3120,Graduation,Married,38547,1,1,1,10,0,6,1
5885,Basic,Married,35688,2,4,7,90,12,73,3
4050,Master,Married,49605,0,2,1,29,12,42,16
3830,Master,Married,59354,0,4,1,78,39,295,21
7987,Graduation,Married,65747,0,8,4,48,23,346,17
7798,Basic,Married,46344,0,7,4,57,8,233,20
92,Graduation,Other,34176,1,3,4,24,19,5,7
7055,PhD,Married,61010,0,8,2,57,0,888,0
10240,Graduation,Married,69372,0,10,1,269,34,997,26
3025,Graduation,Single,49967,0,6,3,69,4,212,6
9283,Graduation,Single,60199,1,0,1,7,2,8,1
9970,Graduation,Married,55375,0,1,1,57,10,42,11
2730,Graduation,Single,80317,0,3,1,387,149,536,11
2795,Master,Single,30523,2,1,1,3,0,5,0
9260,PhD,Married,70356,0,10,2,249,43,1349,16
8182,Graduation,Married,23228,1,3,4,49,7,53,3
10095,PhD,Divorced,74165,0,5,1,240,16,1001,12
8475,PhD,Married,157243,0,0,15,1582,1,20,2
4370,Graduation,Married,43482,2,2,3,32,6,18,1
10573,Graduation,Divorced,62551,0,6,1,98,134,125,16
3712,Graduation,Divorced,52332,0,3,1,33,7,212,5
6637,Graduation,Single,66951,0,3,1,305,173,277,162
3152,Graduation,Married,26091,1,2,3,19,8,15,10
5610,Graduation,Married,33456,1,1,2,10,8,7,3
6460,Graduation,Married,28718,1,2,2,6,11,12,4
1349,Graduation,Married,50447,2,3,1,24,2,85,7
1880,PhD,Married,53537,1,2,2,6,0,81,0
641,Graduation,Single,52074,0,2,1,12,0,59,0
8717,PhD,Married,80427,0,11,1,449,69,1149,71
10314,PhD,Married,83837,0,9,1,119,86,847,66
10854,PhD,Married,38853,1,2,2,14,0,29,0
10492,Graduation,Married,38285,2,0,1,5,2,2,0
6935,Basic,Married,78497,0,5,1,447,75,207,26
7698,PhD,Married,51650,0,4,1,22,2,152,3
3559,Basic,Married,16248,1,2,3,10,3,12,11
10562,Master,Married,66835,0,6,1,195,34,620,26
10796,Master,Married,30477,1,1,1,6,0,47,1
2563,Basic,Married,28249,0,2,1,7,2,1,9
3518,Graduation,Married,25271,1,1,1,18,10,10,1
5823,PhD,Single,32303,0,1,2,2,0,35,0
3934,Graduation,Married,61286,0,7,2,107,19,356,0
6982,Graduation,Married,74068,0,4,1,537,140,783,30
6431,PhD,Married,45759,1,2,2,18,3,42,1
9733,Basic,Married,24882,1,1,1,10,29,1,4
5602,PhD,Married,66973,0,8,1,432,147,466,22
7829,Basic,Divorced,36640,1,2,1,8,7,15,6
1324,Graduation,Married,38872,1,3,2,21,3,23,3
326,Graduation,Married,51148,1,5,4,45,8,235,6
7224,Graduation,Married,31353,1,1,2,10,3,10,0
6999,Master,Married,69661,0,7,1,106,32,656,16
9938,Graduation,Married,80067,0,4,1,813,27,519,17
6422,Graduation,Married,86718,0,5,1,482,50,344,189
3182,PhD,Single,46854,1,5,6,79,7,96,1
7300,Graduation,Divorced,69142,0,8,3,34,6,448,4
10424,Graduation,Single,75922,0,4,1,553,224,265,138
8727,Graduation,Divorced,63693,0,11,3,337,42,587,43
2798,PhD,Married,102160,0,7,0,138,76,763,29
1030,PhD,Single,40637,1,1,2,13,0,22,0
624,Master,Single,18890,0,0,1,1,7,6,4
5176,Graduation,Married,29604,1,1,1,13,7,7,6
5552,Master,Divorced,48721,1,4,6,113,47,81,18
868,Graduation,Married,44794,0,2,1,7,0,54,0
380,Graduation,Divorced,64497,0,11,5,320,42,1170,48
2677,Graduation,Married,46097,0,3,5,68,65,72,24
6521,Graduation,Married,77972,0,4,1,319,33,613,22
6927,PhD,Married,44377,1,5,8,30,0,224,0
2877,Master,Married,46014,1,7,10,59,19,410,0
0,Graduation,Married,70951,0,3,1,554,254,239,10
1584,Graduation,Married,41443,1,8,6,171,25,171,7
7264,Basic,Single,52195,2,1,1,4,0,12,0
6274,Master,Married,83790,0,8,1,417,42,1076,16
1377,Master,Other,44551,0,4,2,33,0,182,4
454,Graduation,Married,69508,1,11,2,162,42,824,32
1755,Basic,Married,45204,1,1,1,25,29,30,11
2075,Graduation,Married,72460,0,3,1,540,80,377,10
4785,PhD,Married,77622,0,6,2,154,19,520,7
9076,PhD,Married,30732,1,4,4,25,0,155,1
7079,Graduation,Divorced,63887,0,9,5,207,15,897,23
4653,Graduation,Married,42011,1,3,4,16,2,131,0
7375,Graduation,Married,51369,0,8,2,79,0,297,7
709,Graduation,Divorced,51537,0,2,3,204,0,787,20
460,PhD,Married,79930,0,3,1,740,67,792,86
3726,PhD,Married,34320,1,1,1,9,3,4,1
6798,Graduation,Single,37070,1,5,9,137,4,231,7
5341,Basic,Divorced,81975,0,6,1,184,180,983,76
1606,Graduation,Married,38590,1,1,1,8,4,3,1
9617,Graduation,Single,15033,0,1,1,5,6,0,4
3233,PhD,Married,62745,0,7,3,464,28,562,21
89,Basic,Married,22212,1,2,2,20,6,5,9
2936,Master,Married,23661,1,1,1,4,0,18,0
9449,PhD,Single,79761,0,5,1,124,15,415,5
7297,Graduation,Single,7500,1,3,4,10,12,5,3
11004,Basic,Single,60182,0,1,1,5,7,8,0
313,Graduation,Other,73455,0,6,1,757,186,901,61
9940,Graduation,Married,64961,0,6,2,276,75,382,114
10735,Graduation,Single,22804,1,2,1,7,2,14,1
9529,Graduation,Married,73687,0,3,1,503,218,559,153
6439,Graduation,Married,61074,0,11,7,133,0,789,0
7411,PhD,Married,31686,1,1,2,5,0,11,0
2176,Graduation,Married,80134,1,5,2,272,104,1218,16
9265,Graduation,Married,75027,0,9,2,179,133,925,64
8867,PhD,Married,67546,0,4,1,768,150,864,134
8932,Master,Married,65176,0,9,4,183,220,960,28
10236,Master,Single,31160,1,2,2,25,6,16,3
6340,Graduation,Single,29938,1,1,2,7,0,3,3
10089,Graduation,Divorced,102692,0,6,1,444,32,168,148
2227,Basic,Married,26490,0,3,2,52,21,45,47
10992,Graduation,Married,75702,1,4,5,353,45,650,28
5304,PhD,Single,30899,1,1,2,8,0,24,0
309,PhD,Married,63342,0,8,3,118,13,918,21
3406,Graduation,Single,45989,0,3,4,87,28,138,33
2661,Graduation,Single,18701,1,2,4,2,10,12,4
3153,PhD,Single,40737,2,1,1,4,0,11,0
10264,Graduation,Divorced,15287,1,1,2,8,4,1,2
1184,PhD,Divorced,69674,0,10,3,215,11,554,41
4200,Master,Married,44159,1,4,4,62,24,167,2
9396,PhD,Married,37717,1,1,1,6,4,9,0
2387,Master,Married,43776,1,5,6,71,3,177,2
6690,Master,Married,38179,1,3,4,22,4,38,4
1225,Graduation,Married,80124,0,3,1,398,205,483,84
9703,PhD,Married,38097,1,3,4,35,0,77,2
291,Graduation,Married,72940,0,3,1,298,162,182,74
4557,Graduation,Married,22070,1,2,2,19,8,10,7
2379,Graduation,Single,69267,0,3,2,499,95,778,44
5726,Master,Single,31788,1,3,3,23,0,16,7
3066,PhD,Married,61905,0,4,2,43,6,167,0
6336,Graduation,Married,29315,1,2,4,14,8,13,2
10967,Graduation,Divorced,33378,1,2,3,40,3,33,6
2304,PhD,Married,66313,0,6,2,99,10,625,7
3445,Graduation,Single,60714,0,7,2,224,101,216,162
7828,Master,Married,77882,0,3,1,396,188,68,129
3762,PhD,Single,69867,0,3,1,512,33,196,0
4391,Master,Divorced,63841,0,9,1,100,20,635,15
4669,Basic,Married,24480,1,3,3,9,28,4,19
10144,Graduation,Married,51369,0,8,2,79,0,297,7
8652,Graduation,Married,37760,0,4,2,38,150,84,5
1672,PhD,Married,65640,0,5,1,149,20,204,7
8962,Master,Married,44319,1,2,2,8,0,26,0
9974,Graduation,Married,30631,1,3,1,20,4,15,6
10983,Graduation,Married,75278,0,6,1,230,150,304,98
8148,Master,Married,50898,1,6,13,242,55,285,28
10102,Graduation,Other,79946,0,5,1,565,166,395,183
4697,Master,Divorced,35416,0,7,3,81,4,248,3
9262,Basic,Married,32414,0,1,1,5,0,20,6
7254,Graduation,Married,38361,1,3,3,56,20,39,0
4543,Graduation,Married,82497,0,2,1,573,216,777,129
4927,Graduation,Married,16626,2,3,3,22,21,8,3
10451,Graduation,Married,29672,1,0,1,3,0,9,1
2926,Master,Married,55951,0,3,3,80,0,1241,0
2874,Basic,Divorced,35388,1,1,1,7,4,6,4
9738,Master,Married,42386,1,3,1,16,0,65,4
7119,Graduation,Single,68627,0,2,1,263,60,395,15
3924,PhD,Divorced,57912,0,8,5,80,0,801,0
5827,Graduation,Divorced,35246,1,3,4,12,2,36,0
5596,Basic,Married,58821,0,9,1,154,19,513,14
10812,PhD,Married,46377,1,2,1,46,4,37,0
1717,Graduation,Single,39747,1,5,3,93,20,80,15
9491,Graduation,Married,23976,1,3,3,21,2,14,1
9274,Master,Married,80950,0,6,1,112,219,525,147
6609,Graduation,Other,27038,0,3,1,25,17,1,26
6963,Graduation,Single,77457,0,2,1,400,15,675,11
4440,Master,Married,64100,0,8,1,27,0,509,0
1379,Master,Married,42670,0,4,1,46,20,154,2
10032,Graduation,Divorced,12571,1,3,4,14,2,3,5
2826,Graduation,Married,22574,2,2,2,8,2,25,0
2437,Graduation,Married,,0,6,1,461,60,861,138
6320,Master,Single,70893,0,6,1,561,77,768,44
3050,Graduation,Married,54198,1,3,6,28,3,185,0
231,Master,Married,28839,1,2,2,7,0,24,0
2392,Graduation,Married,40321,1,3,2,21,6,44,4
9478,Graduation,Single,66503,1,4,2,128,65,91,64
113,Graduation,Married,30833,1,1,2,7,3,11,0
2863,Graduation,Single,,1,2,6,172,52,738,20
1802,Graduation,Married,64795,0,3,3,119,38,412,5
520,Graduation,Married,34421,1,1,1,7,6,3,3
8275,PhD,Divorced,47025,1,1,1,3,0,16,0
9750,PhD,Divorced,64325,0,10,5,353,78,731,60
2607,Graduation,Single,40464,0,8,6,118,7,424,17
7214,Graduation,Married,62187,0,4,1,275,45,792,0
5835,PhD,Divorced,14849,1,2,3,28,3,21,2
3896,Graduation,Married,27255,1,1,1,11,0,22,1
10350,PhD,Married,54432,2,1,1,5,0,33,0
7786,PhD,Single,29999,1,3,4,59,10,68,7
2861,Graduation,Single,24072,1,1,1,6,3,9,1
663,PhD,Single,33996,0,1,1,15,8,40,2
10675,PhD,Married,66334,0,9,2,218,0,909,11
2521,Master,Married,35178,1,1,1,13,2,23,1
9592,Graduation,Married,22010,1,2,2,9,3,11,2
10151,Graduation,Divorced,62204,0,4,1,247,151,317,46
7381,Graduation,Divorced,75693,0,11,1,293,72,797,153
4099,Graduation,Married,30675,1,1,1,16,11,10,2
9560,Graduation,Married,83003,0,7,1,570,40,856,61
1150,PhD,Married,83532,0,4,1,562,104,755,144
10172,Graduation,Single,68655,0,4,1,832,75,456,19
11191,Graduation,Divorced,41411,0,2,1,38,11,37,32
9707,PhD,Married,55212,0,4,3,45,0,1103,0
6245,PhD,Married,59292,0,3,2,68,19,378,14
8234,Basic,Married,27190,1,1,1,7,0,1,6
1411,Graduation,Divorced,82623,0,2,1,204,172,204,34
8553,Graduation,Married,44300,1,1,2,9,0,30,0
1826,Graduation,Divorced,84835,0,4,1,379,111,189,104
8842,Graduation,Other,30372,1,2,3,12,7,15,0
11030,Master,Married,33181,1,1,1,3,0,9,0
2579,Graduation,Married,71113,0,6,4,255,11,495,33
175,Graduation,Married,71952,1,8,2,455,52,656,80
9185,PhD,Single,69759,0,4,3,514,13,452,20
11056,Graduation,Married,72099,0,3,1,410,119,546,91
9365,PhD,Single,60000,0,11,5,217,0,1048,0
6201,Graduation,Single,38643,1,2,2,14,0,22,2
2061,Graduation,Married,50737,0,2,1,11,0,78,0
6184,PhD,Married,68462,0,3,1,785,84,561,64
6142,Master,Married,65073,0,5,1,177,69,629,17
4107,PhD,Married,46681,0,4,2,69,15,269,15
7274,Graduation,Married,78618,0,4,1,818,212,736,163
9336,PhD,Other,62187,0,6,3,83,0,512,0
2958,Graduation,Married,28442,2,2,3,10,11,19,3
933,PhD,Married,37717,1,1,1,6,4,9,0
5837,Graduation,Married,51479,1,6,7,160,6,247,8
10704,Graduation,Single,54803,0,6,2,92,28,404,0
5125,Graduation,Married,79530,0,4,1,815,129,333,0
4432,Graduation,Divorced,31615,1,2,2,20,6,2,3
5955,Graduation,Married,72025,0,4,1,549,151,833,33
2928,PhD,Single,52614,0,2,2,142,12,789,0
5680,Basic,Married,35684,1,1,1,7,0,10,4
10313,Graduation,Married,48178,1,5,6,45,6,159,4
2557,Master,Single,29548,1,1,1,6,3,7,1
1245,Graduation,Single,63810,0,4,4,253,16,977,12
1519,PhD,Single,38578,1,3,3,22,3,38,4
10703,Master,Single,46098,1,3,4,27,0,57,0
1726,Graduation,Single,22585,0,1,1,15,13,3,9
4459,Graduation,Single,30279,1,1,1,14,4,10,4
1729,PhD,Married,66426,0,3,2,97,32,1043,24
1517,Graduation,Single,30822,1,1,1,13,2,3,9
2098,PhD,Married,33581,2,1,1,5,0,11,0
9543,Graduation,Married,19986,1,0,1,5,0,3,6
6878,Graduation,Other,27421,0,4,3,96,78,43,12
3310,Basic,Married,35688,2,4,7,90,12,73,3
2724,Master,Single,36143,1,0,1,1,0,12,0
948,Graduation,Single,10245,1,1,3,7,6,4,7
6720,Master,Married,43795,0,7,3,53,4,314,11
6202,Graduation,Married,63381,0,4,4,142,33,571,50
2066,Graduation,Married,38823,0,2,1,11,2,70,0
9799,PhD,Divorced,83664,1,2,3,151,28,866,21
8318,Graduation,Married,90300,0,5,0,786,33,594,134
5642,Master,Married,62499,1,3,2,61,0,140,4
2669,Graduation,Single,74293,0,5,1,335,93,375,152
455,PhD,Married,51012,0,4,1,63,2,102,9
7683,Master,Married,70777,0,5,3,113,0,554,35
3428,PhD,Married,68682,0,4,1,505,99,919,0
7414,Graduation,Married,43824,1,3,4,42,12,96,1
6354,Graduation,Married,15345,1,1,2,16,3,5,2
798,Graduation,Single,23442,1,1,1,6,8,2,0
8213,Basic,Married,14515,1,2,4,9,6,6,4
2488,Basic,Divorced,31395,1,2,4,25,0,23,1
9999,Graduation,Married,75276,0,9,1,125,137,610,105
7617,Graduation,Single,42373,1,2,5,61,3,67,5
615,Graduation,Married,30507,0,5,1,74,38,65,36
2552,PhD,Single,55521,1,6,9,26,0,416,0
194,Graduation,Married,48006,1,1,1,11,3,23,0
3645,PhD,Single,27213,1,2,3,26,10,19,3
8890,PhD,Divorced,65808,1,5,3,80,13,155,7
5049,PhD,Married,30351,1,3,1,24,3,14,0
9973,Graduation,Married,50437,0,7,3,92,6,370,9
7301,Basic,Single,23616,1,3,2,11,3,4,22
10882,Graduation,Married,53858,0,4,4,221,58,407,53
7030,PhD,Married,66465,0,11,3,204,38,1200,0
7422,Graduation,Single,46923,1,5,3,54,102,85,44
3523,Graduation,Married,75072,0,5,2,309,0,583,34
7106,PhD,Married,75865,0,3,1,591,156,483,0
6504,Basic,Married,19789,1,2,3,9,28,2,5
5067,Graduation,Married,80134,0,2,1,282,52,966,26
4216,Graduation,Single,91065,0,7,1,108,179,822,114
8581,Master,Married,49505,1,10,9,100,19,604,0
5929,PhD,Married,37401,1,2,2,19,3,19,3
3129,Graduation,Married,30096,1,2,1,11,12,5,3
6528,Master,Married,18492,1,1,1,2,2,2,2
1361,Master,Married,82584,0,3,1,103,29,1076,68
6932,PhD,Married,93027,0,7,0,716,55,1285,42
7284,Graduation,Married,48686,1,1,1,7,2,10,0
1340,Graduation,Married,92910,0,6,1,792,179,551,137
8746,Graduation,Married,75433,1,2,2,297,0,800,0
5987,Basic,Married,10404,1,1,2,11,10,2,2
3767,Graduation,Married,61314,0,5,2,189,97,378,0
3725,PhD,Single,84865,0,2,1,349,43,1248,16
4324,Graduation,Married,42387,1,8,5,235,19,235,0
238,Basic,Married,67309,1,9,15,181,149,515,47
6694,Graduation,Married,75236,0,8,1,400,12,438,66
498,Graduation,Single,30015,1,1,2,22,2,25,0
9347,Master,Married,50943,0,1,1,7,2,31,0
9699,Graduation,Divorced,67272,0,6,3,271,28,357,35
10664,Master,Other,51529,0,9,2,35,6,400,4
5455,PhD,Married,32011,1,2,3,15,2,99,0
456,Basic,Married,7500,1,2,2,5,4,1,11
5012,Graduation,Married,28691,1,1,1,13,8,5,4
7495,PhD,Married,56223,0,2,2,31,16,77,28
5029,Graduation,Married,18100,0,0,1,2,4,3,1
10642,Graduation,Single,30279,1,1,1,14,4,10,4
2106,Basic,Married,20130,0,1,1,3,7,0,6
10364,Graduation,Divorced,23295,0,1,1,1,2,0,0
5954,Master,Divorced,42618,1,5,2,74,13,76,14
1137,Graduation,Single,81246,0,4,1,537,61,398,190
2541,Graduation,Married,24027,1,2,2,11,11,14,7
1142,PhD,Married,55707,0,3,2,82,30,208,7
2276,Graduation,Single,57959,0,4,5,322,43,430,16
2807,Graduation,Married,56796,0,8,3,161,62,656,38
6471,Master,Single,36230,1,2,1,30,8,14,2
6131,Basic,Married,70829,1,4,2,106,72,141,70
6233,Graduation,Married,65991,0,9,3,364,25,507,19
4148,Graduation,Married,38988,1,5,7,103,12,164,24
4947,Basic,Single,89572,0,7,1,974,197,606,24
3225,Master,Married,42207,1,4,4,72,3,116,11
7540,Graduation,Married,50300,0,2,2,60,24,143,15
10648,Basic,Married,66664,0,5,1,447,220,398,96
1992,Graduation,Married,60597,0,2,4,257,32,522,0
7851,Graduation,Other,70165,0,3,1,253,199,161,0
8594,PhD,Other,50520,0,3,2,6,2,112,0
7059,Graduation,Married,80124,0,3,1,398,205,483,84
2815,Graduation,Married,33183,1,4,2,39,17,7,5
2416,PhD,Single,66582,0,2,1,420,16,789,25
7999,PhD,Married,75261,0,5,1,413,23,1239,17
9213,Graduation,Other,31880,1,1,1,5,2,4,1
9697,Graduation,Married,53790,0,7,3,127,28,335,42
3916,PhD,Married,49269,1,7,3,166,11,639,8
2021,Graduation,Married,61456,0,6,4,384,84,563,76
1581,Graduation,Married,37406,1,1,1,8,2,2,0
564,PhD,Married,56937,1,8,7,125,11,746,8
6619,Graduation,Married,38415,1,1,2,13,4,22,1
9081,Graduation,Single,20518,1,1,1,6,4,4,1
178,Graduation,Married,62503,0,8,4,193,110,478,0
916,PhD,Single,41644,1,1,2,4,2,20,3
5512,Master,Married,55842,0,7,1,39,0,451,0
8970,PhD,Married,62010,0,6,4,39,6,371,22
10581,Graduation,Married,41124,1,7,7,84,15,281,7
5300,Master,Married,38961,1,2,1,19,0,19,7
5154,Master,Divorced,37760,1,2,1,13,2,26,3
8346,Graduation,Single,32233,1,6,2,35,25,138,15
1676,Graduation,Married,43057,0,4,4,44,0,213,2
9286,Master,Married,83151,0,5,1,100,120,407,28
2426,PhD,Divorced,78825,0,5,1,114,169,483,74
5172,Master,Married,65104,0,3,2,232,13,738,0
5562,Graduation,Married,60093,0,7,2,109,16,502,12
3436,Graduation,Married,14045,1,1,1,5,2,11,0
3921,Basic,Other,28457,0,4,1,108,29,24,1
3403,PhD,Married,78952,0,2,2,594,99,1170,19
22,Graduation,Divorced,46310,1,6,2,88,15,185,2
10965,Graduation,Married,76005,0,3,1,389,240,983,20
9426,Master,Single,58308,0,2,4,69,10,691,0
6605,PhD,Divorced,55614,0,9,1,131,8,504,13
3136,Master,Divorced,59432,0,5,3,265,25,317,25
8737,Graduation,Divorced,55563,0,2,1,9,2,29,1
11088,PhD,Married,78642,0,4,1,322,46,1396,0
716,PhD,Married,67911,0,6,3,356,63,529,0
466,Graduation,Married,65275,0,4,1,218,91,388,14
9135,Graduation,Married,27203,1,1,2,21,4,13,2
10623,Master,Married,48330,0,1,1,4,0,28,0
8151,Basic,Married,24279,0,4,1,21,20,16,36
5140,PhD,Married,64355,1,4,2,140,67,1047,0
10160,Master,Married,50943,0,1,1,7,2,31,0
